,text_number,screen_number,sentence_number,w_in_sent_id,w_in_screen_id,deps,n_rights,n_lefts,dep_distance,word_length,surprisal_gpt,contains_punctuation,lex_freq_unk,lex_freq,PoS-Tag
7330,14,1,6,4,94,nk,0,1,2,5,1.4725496768951416,FALSE,FALSE,262.232009,nn
7331,14,1,6,5,95,ROOT,3,2,0,4,1.9117445945739746,FALSE,FALSE,3346.018958,vmfin
7332,14,1,6,6,96,mo,1,0,-5,2,6.848726749420166,FALSE,FALSE,14298.16411,appr
7333,14,1,6,7,97,nk,0,0,1,7,3.437194347381592,FALSE,FALSE,112.2438346,nn
7334,14,1,6,8,98,nk,0,0,-1,3,1.9906748533248901,FALSE,FALSE,80100.30691,art
7335,14,1,6,9,99,sb,0,1,4,17,5.958086967468262,FALSE,FALSE,1.258962165,nn
7336,14,1,6,10,100,oc,0,0,-1,14,3.0722873210906982,FALSE,FALSE,16.62811068,vvpp
7337,14,1,6,11,101,oc,0,2,6,7,0.4723048210144043,TRUE,FALSE,8998.096899,vainf
7338,14,1,7,1,102,mo,1,0,-3,2,3.8910017013549805,FALSE,FALSE,14298.16411,appr
7339,14,1,7,2,103,nk,0,0,-1,5,3.461167573928833,FALSE,FALSE,17543.4334,art
7340,14,1,7,3,104,nk,0,1,2,5,5.588619232177734,FALSE,FALSE,127.5394074,nn
7341,14,1,7,4,105,ROOT,3,1,0,4,1.922021508216858,FALSE,FALSE,17044.4184,vafin
7342,14,1,7,5,106,da,0,0,-3,4,0.3180839717388153,FALSE,FALSE,6566.550453,prf
7343,14,1,7,6,107,nk,0,0,-1,5,4.361105918884277,FALSE,FALSE,864.3838026,piat
7344,14,1,7,7,108,sb,0,1,3,8,2.385458469390869,FALSE,FALSE,10.00629669,nn
7345,14,1,7,8,109,pd,0,1,4,6,0.48907579481601715,TRUE,FALSE,26.26652881,adjd
7346,14,1,8,1,110,cp,0,0,-25,4,4.611650466918945,FALSE,FALSE,2088.086852,kous
